barcode,foodcode,usdadescmain,hei_score
021140395245,11112110.0,"Milk, cow's, fluid, 2% fat",0.02
041443310981,42111100.0,"Peanuts, roasted, salted",0.05
038000403705,55205000.0,"Waffle, 100% whole wheat or 100% whole grain",0.19
024000507710,61122330.0,"Orange, mandarin, canned or frozen, in light syrup",0.08
072180637512,58106505.0,"Pizza with meat, prepared from frozen, thick crust",0.09
072180637529,58106205.0,"Pizza, cheese, prepared from frozen, thick crust",0.09
021131590055,58145110.0,Macaroni or noodles with cheese,0.05
030100350538,54408010.0,"Pretzels, hard",0.08
020685000270,71201015.0,"White potato chips, regular cut",0.22
073430000018,94100100.0,"Water, bottled, unsweetened",0.01
M-4560,73101010.0,"Carrots, raw",0.1
033383101507,61119010.0,"Orange, raw",0.03
031000184629,25221840.0,"Turkey breakfast sausage, bulk, patty or link, cooked",0.21
M-4083,11352.0,"Potato, flesh and skin, raw",0.01
813905000644,31101010.0,"Egg, whole, raw",0.05
071429089396,32002.0,"Rice and vermicelli mix, rice pilaf flavor, unprepared",0.08
047325908277,20109.0,"Noodles, egg, dry, enriched",0.11
078742230528,20099.0,"Macaroni, dry, enriched",0.08
072486009297,18022.0,"Bread, cornbread, dry mix, enriched (includes corn muffin mix)",0.09
078742370361,18372.0,"Leavening agents, baking soda",0.07
052100091600,41813000.0,"Vegetarian bouillon, dry",0.67
052100091709,41813000.0,"Vegetarian bouillon, dry",0.8
078742200125,71201020.0,"White potato chips, ruffled, rippled, or crinkle cut",0.16
078742980195,51121010.0,"Bread, garlic",0.06
045000111882,51301010.0,"Bread, wheat or cracked wheat",0.07
078742985268,51157000.0,"Roll, hoagie, submarine",0.04
078742986784,51109010.0,"Bread, Italian, Grecian, Armenian",0.06
042222216401,25221840.0,"Turkey breakfast sausage, bulk, patty or link, cooked",0.08
077644900478,74404010.0,"Spaghetti sauce, meatless",0.04
041410307518,83107000.0,"Mayonnaise, regular",0.06
078742353227,14108010.0,"Cheese, Parmesan, dry grated",0.17
078742014128,24198570.0,"Chicken, canned, meat only",0.13
036200004647,74404010.0,"Spaghetti sauce, meatless",0.04
075779311107,91101010.0,"Sugar, white, granulated or lump",0.01
072940000068,74403010.0,Tomato sauce,0.13
025293000988,11350000.0,"Milk, almond, ready-to-drink",0.01
073731003282,52215100.0,"Tortilla, corn",0.08
681131328944,75113000.0,"Lettuce, raw",0.16
078742014838,14104020.0,"Cheese, Cheddar or American type, dry, grated",0.1
077623000618,92191100.0,"Coffee, dry instant powder, regular",0.13
078742433592,20120.0,"Spaghetti, dry, enriched",0.03
070969000168,75111500.0,"Garlic, raw",0.42
041331038287,2034.0,"Spices, poultry seasoning",0.17
078742116259,2009.0,"Spices, chili powder",0.9
605388987891,74402150.0,"Salsa, red, commercially-prepared",0.1
016000275263,57123000.0,Cheerios,0.41
M-4247,63223020.0,"Strawberries, raw",0.09
030034014162,91300100.0,"Pancake syrup, NFS",0.03
052000003390,94100200.0,"Water, bottled, sweetened, with low or no calorie sweetener",0.03
054100018700,75503020.0,"Cucumber pickles, relish",0.11
070470005676,11430000.0,"Yogurt, fruit variety, NS as to type  of milk",0.08
030034400354,51101000.0,"Bread, white",0.05
030034060954,11423000.0,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk",0.21
030034060992,11430000.0,"Yogurt, fruit variety, NS as to type  of milk",0.06
030034061043,11420000.0,"Yogurt, vanilla, lemon, or coffee flavor, NS as to type of milk",0.21
030034060961,11430000.0,"Yogurt, fruit variety, NS as to type  of milk",0.06
030034061029,11430000.0,"Yogurt, fruit variety, NS as to type  of milk",0.23
030034061012,11433000.0,"Yogurt, fruit variety, nonfat milk",0.25
030034060978,11433000.0,"Yogurt, fruit variety, nonfat milk",0.25
030034056933,20099.0,"Macaroni, dry, enriched",0.08
030034045852,20099.0,"Macaroni, dry, enriched",0.08
030034045784,20099.0,"Macaroni, dry, enriched",0.08
030034027605,20099.0,"Macaroni, dry, enriched",0.1
030034056919,20099.0,"Macaroni, dry, enriched",0.08
030034068509,14108010.0,"Cheese, Parmesan, dry grated",0.17
077900502101,58127330.0,"Croissant sandwich with sausage, egg, and cheese",0.06
071319000784,51150000.0,"Roll, white, soft",0.05
014100070931,51150000.0,"Roll, white, soft",0.04
052100010106,2034.0,"Spices, poultry seasoning",1.93
046704094105,75415022.0,"Onion rings, from frozen, batter-dipped, baked or fried",0.08
012000008412,92410320.0,"Soft drink, cola-type, sugar-free",0.0
071673001144,51101000.0,"Bread, white",0.05
078000013368,92410510.0,"Soft drink, fruit-flavored, caffeine free",0.01
012000002335,92410550.0,"Soft drink, fruit flavored, caffeine containing",0.01
034000004805,91734100.0,Reese's Peanut Butter Cup,0.4
072250037068,51301010.0,"Bread, wheat or cracked wheat",0.07
033383010243,63101000.0,"Apple, raw",0.04
012000001307,92410320.0,"Soft drink, cola-type, sugar-free",0.05
033383001531,63101000.0,"Apple, raw",0.04
030000311776,53711002.0,Quaker Chewy 90 Calorie Granola Bar,0.38
016000274433,11382.0,"Potatoes, mashed, dehydrated, granules with milk, dry form",0.29
041497280018,20120.0,"Spaghetti, dry, enriched",0.11
041497082964,14104250.0,"Cheese, Colby Jack",0.19
041497083848,14107030.0,"Cheese, Mozzarella, part skim",0.06
629097625127,24198700.0,"Chicken patty, fillet, or tenders, breaded, cooked",0.03
076800000113,51180010.0,Bagel,0.05
036632027207,11433500.0,"Yogurt, fruit variety, nonfat milk, sweetened with low-calorie sweetener",0.08
036632021878,11433500.0,"Yogurt, fruit variety, nonfat milk, sweetened with low-calorie sweetener",0.08
036632021816,11433500.0,"Yogurt, fruit variety, nonfat milk, sweetened with low-calorie sweetener",0.08
