barcode,foodcode,usdadescmain,hei_score
021130067312,71603010.0,"Potato salad, made with mayonnaise",0.12
049000052367,92410320.0,"Soft drink, cola-type, sugar-free",0.02
096619177677,92191100.0,"Coffee, dry instant powder, regular",0.03
041000731334,92302000.0,"Tea, leaf, unsweetened",0.02
070662035030,6583.0,"Soup, ramen noodle, any flavor, dry",0.05
070470003238,11420000.0,"Yogurt, vanilla, lemon, or coffee flavor, NS as to type of milk",0.21
071279108049,75114000.0,"Mixed salad greens, raw",0.15
049000047547,92411610.0,"Cola with fruit or vanilla flavor, sugar-free",0.02
041409002455,11830800.0,"Instant breakfast, powder, not reconstituted",0.05
712199319770,91708030.0,Fruit leather and fruit snacks candy,2.65
712199319787,91708030.0,Fruit leather and fruit snacks candy,2.65
712199319848,91708030.0,Fruit leather and fruit snacks candy,0.66
015300440258,22998.0,"Rice and vermicelli mix, chicken flavor, unprepared",0.04
036200013755,74404010.0,"Spaghetti sauce, meatless",0.04
078000017168,92410520.0,"Soft drink, fruit-flavored, sugar free, caffeine free",0.01
078000099164,92410370.0,"Soft drink, pepper-type, sugar-free",0.0
041716881378,14107030.0,"Cheese, Mozzarella, part skim",0.08
043695240955,58126280.0,"Turnover, chicken- or turkey-, and vegetable-filled, lower in fat",0.12
021130184569,51150000.0,"Roll, white, soft",0.05
021130151202,20120.0,"Spaghetti, dry, enriched",0.06
021130043903,14104020.0,"Cheese, Cheddar or American type, dry, grated",0.19
021130093373,11430000.0,"Yogurt, fruit variety, NS as to type  of milk",0.08
043695184853,58126280.0,"Turnover, chicken- or turkey-, and vegetable-filled, lower in fat",0.12
043695002393,58126280.0,"Turnover, chicken- or turkey-, and vegetable-filled, lower in fat",0.12
047126152213,21500100.0,"Ground beef or patty, cooked, NS as to percent lean (formerly NS as to regular, lean, or extra lean)",0.01
739510000056,94210300.0,SoBe Lifewater,0.04
035826009166,64401000.0,Vinegar,0.07
044300054639,75500210.0,"Beets, pickled",0.07
725439113120,20044.0,"Rice, white, long-grain, regular, raw, enriched",0.08
011110796479,71201015.0,"White potato chips, regular cut",0.22
073402122700,51101000.0,"Bread, white",0.05
688267030048,53247000.0,"Cookie, vanilla wafer",0.09
835841006252,51157000.0,"Roll, hoagie, submarine",0.04
613008717810,92301060.0,"Tea, NS as to type, presweetened with sugar",0.01
032251021893,53206000.0,"Cookie, chocolate chip",0.06
032251122095,53201000.0,"Cookie, NFS",0.1
028400034289,71201015.0,"White potato chips, regular cut",0.19
040000464082,91715100.0,SNICKERS Bar,0.29
872181005507,91703060.0,"Caramel with nuts, chocolate covered",0.72
015400831383,14010100.0,"Cheese, Cheddar or American type, NS as to natural or processed",0.17
096619101344,94100100.0,"Water, bottled, unsweetened",0.0
048564220984,52215100.0,"Tortilla, corn",0.01
096619414000,81101000.0,"Butter, stick, salted",0.02
093966000146,11111000.0,"Milk, cow's, fluid, whole",0.01
041331039802,20120.0,"Spaghetti, dry, enriched",0.06
078742088198,64104010.0,Apple juice,0.02
044700008577,25220410.0,"Bologna, NFS",0.07
078742373942,5314.0,"Chicken, broilers or fryers, breast, skinless, boneless, meat only, enhanced, raw",0.03
605388187437,75311012.0,"Mixed vegetables (corn, lima beans, peas, green beans, and carrots), cooked, from frozen, fat not added in cooking",0.1
078742131870,41420300.0,Soy sauce,0.08
041789001314,6583.0,"Soup, ramen noodle, any flavor, dry",0.05
042400148647,57306800.0,Malt-O-meal Tootie Fruities,0.03
077567205186,13110100.0,"Ice cream, regular, flavors other than chocolate",0.04
027000419243,13230130.0,"Pudding, ready-to-eat, chocolate",0.04
074323054477,51301010.0,"Bread, wheat or cracked wheat",0.07
096619000081,11112110.0,"Milk, cow's, fluid, 2% fat",0.01
028400043816,54402600.0,"Salty snacks, multigrain, whole grain, chips (made with whole corn, whole wheat, rice flour, and whole oat flour)",0.08
050000540822,11830800.0,"Instant breakfast, powder, not reconstituted",0.22
041290011352,51101000.0,"Bread, white",0.05
745527200228,53242000.0,"Cookie, sugar wafer",0.17
072804001705,11112110.0,"Milk, cow's, fluid, 2% fat",0.01
613008719296,92510610.0,Fruit juice drink,0.04
073472001691,51806010.0,"Bread, rice",0.04
030034052638,57124200.0,Chocolate flavored frosted puffed corn cereal,0.06
036200004449,74404010.0,"Spaghetti sauce, meatless",0.04
030034400453,51150000.0,"Roll, white, soft",0.05
030034004071,5006.0,"Chicken, broilers or fryers, meat and skin, raw",0.03
853522000214,53204000.0,"Cookie, brownie, NS as to icing",0.15
030034055165,25221250.0,Pepperoni,0.17
011225063213,14104250.0,"Cheese, Colby Jack",0.19
030034006655,14410200.0,"Cheese, processed, American or Cheddar type",0.17
022655300441,24208500.0,"Turkey bacon, cooked",0.1
073472003695,52215260.0,"Tortilla, whole wheat",0.2
030034067526,25230905.0,"Turkey or chicken breast, low salt, prepackaged or deli, luncheon meat",0.11
051000024572,6019.0,"Soup, chicken noodle, canned, condensed",0.09
037600406031,27211400.0,Corned beef hash,0.08
613008715120,92301060.0,"Tea, NS as to type, presweetened with sugar",0.01
041498136666,11433000.0,"Yogurt, fruit variety, nonfat milk",0.25
041498192761,11433000.0,"Yogurt, fruit variety, nonfat milk",0.25
041498000059,75510010.0,"Olives, green",0.27
041498150006,57602100.0,"Oats, raw",0.09
041498171926,92410520.0,"Soft drink, fruit-flavored, sugar free, caffeine free",0.03
041498181192,92191100.0,"Coffee, dry instant powder, regular",0.11
041498123123,11433000.0,"Yogurt, fruit variety, nonfat milk",0.25
044700011638,25230210.0,"Ham, sliced, prepackaged or deli, luncheon meat",0.07
073360512049,93101000.0,Beer,0.04
017072007905,51157000.0,"Roll, hoagie, submarine",0.04
072220000542,51101000.0,"Bread, white",0.02
813513010172,92410510.0,"Soft drink, fruit-flavored, caffeine free",0.11
813513010158,92410510.0,"Soft drink, fruit-flavored, caffeine free",0.11
636711405003,92651000.0,Energy drink,0.1
022000004833,91802000.0,"Chewing gum, sugarless",1.64
071461008119,54401080.0,"Salty snacks, corn or cornmeal base, tortilla chips",0.08
036800171596,14107030.0,"Cheese, Mozzarella, part skim",0.17
036800528000,75311012.0,"Mixed vegetables (corn, lima beans, peas, green beans, and carrots), cooked, from frozen, fat not added in cooking",0.1
036800528062,75330110.0,"Vegetable combination (including carrots, broccoli, and/or dark-green leafy), cooked, no sauce, fat not added in cooking",0.13
041290103095,11112210.0,"Milk, cow's, fluid, 1% fat",0.01
012000214257,92410520.0,"Soft drink, fruit-flavored, sugar free, caffeine free",0.02
028400034449,71201020.0,"White potato chips, ruffled, rippled, or crinkle cut",0.19
084114113917,71201015.0,"White potato chips, regular cut",0.22
084114108531,71201020.0,"White potato chips, ruffled, rippled, or crinkle cut",0.22
099555382020,92191100.0,"Coffee, dry instant powder, regular",0.11
013764027053,51300110.0,"Bread, whole wheat, NS as to 100%",0.16
073130006334,51160000.0,"Roll, sweet, no frosting",0.04
011535502044,72125100.0,"Spinach, raw",0.15
044000046316,53235000.0,"Cookie, peanut butter sandwich",0.06
042800281081,58108050.0,Pizza rolls,0.02
041163690547,12310100.0,Sour cream,0.08
041163690592,14201010.0,"Cheese, cottage, creamed, large or small curd",0.04
898987001093,13130300.0,"Light ice cream, flavors other than chocolate (formerly ice milk)",0.03
759283334455,41811890.0,"Vegetarian burger or patty, meatless, no bun",0.15
028989229762,41810610.0,"Chicken, meatless, breaded, fried",0.13
046100000854,14120010.0,"Cheese, Mexican blend",0.21
041800200580,92550040.0,"Fruit juice drink, low calorie",0.01
041163437104,75100250.0,"Raw vegetable, NFS",0.09
044000048327,54325050.0,"Crackers, saltine, whole wheat",0.16
041163393707,63111010.0,"Cherries, maraschino",0.25
021000626793,14620200.0,"Dip, cheese base other than cream cheese",0.12
029000073258,42111100.0,"Peanuts, roasted, salted",0.11
041163650657,43102000.0,"Sunflower seeds, hulled, unroasted, without salt",0.24
050000886104,12210210.0,"Cream substitute, flavored, liquid",0.04
041000212574,83205450.0,"Italian dressing, light",0.06
013409128428,41420400.0,Teriyaki sauce,0.03
041130307447,11113000.0,"Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat",0.01
048500020630,92302200.0,"Tea, leaf, presweetened with sugar",0.02
046100011041,14104020.0,"Cheese, Cheddar or American type, dry, grated",0.19
043000000465,14262.0,"Citrus fruit juice drink, frozen concentrate",0.68
027568070306,15066.0,"Fish, pollock, Alaska, raw",0.12
766273040005,14104010.0,"Cheese, natural, Cheddar or American type",0.19
036632035271,11422100.0,"Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk, sweetened with low calorie sweetener",0.28
073570000107,14104010.0,"Cheese, natural, Cheddar or American type",0.19
073570000183,14104250.0,"Cheese, Colby Jack",0.19
075767200697,13110100.0,"Ice cream, regular, flavors other than chocolate",0.03
021000614233,14420200.0,"Cheese spread, cream cheese, regular",0.15
049900345040,14204010.0,"Cheese, cottage, lowfat (1-2% fat)",0.08
016000275157,57308400.0,MultiGrain Cheerios,0.33
037100036554,75216310.0,"Corn, yellow, canned, low sodium, fat not added in cooking",0.12
078000206456,92410610.0,Ginger ale,0.02
052000320695,92560100.0,Gatorade Thirst Quencher sports drink,0.02
013800148803,28143150.0,Chicken and vegetable entree with noodles (diet frozen meal),0.13
070470006505,11432500.0,"Yogurt, fruit variety, lowfat milk, sweetened with low-calorie sweetener",0.33
043000038468,13230130.0,"Pudding, ready-to-eat, chocolate",0.13
715756300099,63203010.0,"Blueberries, raw",0.34
041736010291,82104000.0,Olive oil,0.02
790429218758,42501000.0,Nut mixture with dried fruit and seeds,0.21
661005102108,11111000.0,"Milk, cow's, fluid, whole",0.02
044100101670,12210210.0,"Cream substitute, flavored, liquid",0.04
661005102559,61210220.0,"Orange juice, canned, bottled or in a carton",0.03
051000129116,74404030.0,"Spaghetti sauce with meat, canned, no extra meat added",0.06
049800099890,12220200.0,"Whipped topping, nondairy, frozen",0.11
892035002001,74406010.0,Barbecue sauce,0.08
074683099996,2034.0,"Spices, poultry seasoning",0.48
074683097909,2034.0,"Spices, poultry seasoning",0.37
046567603070,51107010.0,"Bread, French or Vienna",0.1
073214009527,81302070.0,Pesto sauce,0.34
088194330004,11423000.0,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk",0.15
088194330059,11433000.0,"Yogurt, fruit variety, nonfat milk",0.25
044700030998,25230900.0,"Turkey or chicken breast, prepackaged or deli, luncheon meat",0.1
025000008016,92530610.0,"Fruit juice drink, with high vitamin C",0.02
044000028565,53243000.0,"Cookie, vanilla sandwich",0.06
074323078336,91723010.0,"Marshmallow, chocolate covered",0.22
074323091458,53510000.0,"Danish pastry, plain or spice",0.22
074323031591,54401080.0,"Salty snacks, corn or cornmeal base, tortilla chips",0.34
047053123423,52215200.0,"Tortilla, flour (wheat)",0.08
028400082969,54406010.0,"Snacks, onion-flavored rings",0.17
028400078696,71201020.0,"White potato chips, ruffled, rippled, or crinkle cut",1.0
054100004208,75503040.0,"Cucumber pickles, sweet",0.05
070734000089,92306000.0,"Tea, herbal",1.33
070734053177,92306000.0,"Tea, herbal",0.86
046600034274,9027520380.0,"LUNCHABLES, HAM AND CHEESE",0.44
041130304651,75224023.0,"Peas, green, cooked, from canned, fat not added in cooking",0.1
041130143540,6019.0,"Soup, chicken noodle, canned, condensed",0.09
041130143663,75607030.0,"Mushroom soup, canned, undiluted",0.11
051000016416,6053.0,"Soup, cream of potato, canned, condensed",0.12
078742369402,75216310.0,"Corn, yellow, canned, low sodium, fat not added in cooking",0.12
070672202408,75205023.0,"Beans, string, green, cooked, from canned, fat not added in cooking",0.1
078742114187,41101120.0,"White beans, dry, cooked, fat not added in cooking",0.1
031774353405,75216113.0,"Corn, yellow, cooked, from canned, fat not added in cooking",0.1
041498120474,41202020.0,"Chili beans, barbecue beans, ranch style beans or Mexican- style beans",0.07
051000014771,14710110.0,"Cheddar cheese soup, canned, undiluted",0.11
024000167303,63137140.0,"Pear, cooked or canned, in light syrup",0.11
024000167273,63137140.0,"Pear, cooked or canned, in light syrup",0.11
072810284420,61104230.0,"Grapefruit and orange sections, cooked, canned, or frozen, in light syrup",0.14
072940172383,74404010.0,"Spaghetti sauce, meatless",0.07
029243050085,20120.0,"Spaghetti, dry, enriched",0.08
078829003991,20120.0,"Spaghetti, dry, enriched",0.08
041130072451,57224000.0,Golden Grahams,0.14
883978128880,8200.0,"Cereals, QUAKER, QUAKER MultiGrain Oatmeal, dry",0.46
883921118227,8128.0,"Cereals, oats, instant, fortified, with cinnamon and spice, dry",0.57
041130028663,22959.0,"Macaroni and cheese dinner with dry sauce mix, boxed, uncooked",0.13
602128009172,22959.0,"Macaroni and cheese dinner with dry sauce mix, boxed, uncooked",0.15
041130071669,26155190.0,"Tuna, canned, water pack",0.27
077900115837,25221410.0,"Pork sausage, fresh, bulk, patty or link, cooked",0.07
071430010051,75114000.0,"Mixed salad greens, raw",0.15
038000013027,57101000.0,All-Bran,0.05
033383118567,61101010.0,"Grapefruit, raw",0.01
070570750513,61210220.0,"Orange juice, canned, bottled or in a carton",0.03
044000030841,54325000.0,"Crackers, saltine",0.09
030084222043,51109010.0,"Bread, Italian, Grecian, Armenian",0.04
073410138656,51127010.0,"Bread, potato",0.03
071430010686,75114000.0,"Mixed salad greens, raw",0.17
070200010482,51185000.0,Croutons,0.21
086631695983,62109100.0,"Cranberries, dried",0.41
013120013201,73410300.0,"Sweet potato, french fries",0.1
013800190031,58145110.0,Macaroni or noodles with cheese,0.01
014500012678,75330110.0,"Vegetable combination (including carrots, broccoli, and/or dark-green leafy), cooked, no sauce, fat not added in cooking",0.03
062151967786,92191100.0,"Coffee, dry instant powder, regular",0.21
013120004841,71401020.0,"White potato, french fries, from frozen, oven baked",0.05
071300000755,20099.0,"Macaroni, dry, enriched",0.08
078742113029,22601000.0,"Pork bacon, smoked or cured, cooked",0.47
078742083605,24198740.0,Chicken nuggets,0.05
078742083575,24198740.0,Chicken nuggets,0.05
041000203886,83106000.0,"Italian dressing, made with vinegar and oil",0.05
041500000428,75506010.0,Mustard,0.11
052100155302,54420100.0,"Oriental party mix, with peanuts, sesame sticks, chili rice crackers and fried green peas",0.76
071480000163,41201010.0,"Baked beans, NFS",0.01
099555012101,92302000.0,"Tea, leaf, unsweetened",0.1
762111911650,92302000.0,"Tea, leaf, unsweetened",0.3
099555008012,11830100.0,"Cocoa (or chocolate) with dry milk and sugar, dry mix, not reconstituted",0.13
078742434216,56201750.0,"Cornstarch, dry",0.1
099555086119,92191100.0,"Coffee, dry instant powder, regular",0.16
018000004157,51150000.0,"Roll, white, soft",0.08
054300233125,91723000.0,Marshmallow,0.12
894700010120,11433000.0,"Yogurt, fruit variety, nonfat milk",0.25
036632027276,11420000.0,"Yogurt, vanilla, lemon, or coffee flavor, NS as to type of milk",0.23
894700010175,11430000.0,"Yogurt, fruit variety, NS as to type  of milk",0.23
894700010328,11430000.0,"Yogurt, fruit variety, NS as to type  of milk",0.23
016000288829,11382.0,"Potatoes, mashed, dehydrated, granules with milk, dry form",0.22
016000194281,18291.0,"Pancakes, plain, dry mix, incomplete (includes buttermilk)",0.1
001200000746,92410560.0,"Soft drink, fruit flavored, caffeine containing, sugar-free",0.02
083900006488,92301000.0,"Tea, NS as to type, unsweetened",0.01
083900006495,92301060.0,"Tea, NS as to type, presweetened with sugar",0.01
012000105425,92410550.0,"Soft drink, fruit flavored, caffeine containing",0.01
012000001321,92410320.0,"Soft drink, cola-type, sugar-free",0.01
012000286216,92302200.0,"Tea, leaf, presweetened with sugar",0.06
035700018970,92191100.0,"Coffee, dry instant powder, regular",0.11
078742433677,12210400.0,"Cream substitute, powdered",0.02
078742373652,75102000.0,"Beans, lima, raw",0.12
078742373881,75120000.0,"Peas, green, raw",0.12
041625819301,15149.0,"Crustaceans, shrimp, mixed species, raw",0.11
834183007170,73410110.0,"Sweet potato, fried",0.09
037600398855,25221250.0,Pepperoni,0.13
041130014147,11111000.0,"Milk, cow's, fluid, whole",0.01
041130641022,31101010.0,"Egg, whole, raw",0.07
053000052616,14104020.0,"Cheese, Cheddar or American type, dry, grated",0.19
053000071617,14107010.0,"Cheese, Mozzarella, NFS",0.17
070210103341,51101000.0,"Bread, white",0.05
071229027918,61210220.0,"Orange juice, canned, bottled or in a carton",0.01
031000120207,24198700.0,"Chicken patty, fillet, or tenders, breaded, cooked",0.04
046000811017,52215300.0,"Taco shell, corn",0.27
605388186966,14107010.0,"Cheese, Mozzarella, NFS",0.08
078742432953,92530510.0,"Cranberry juice drink or cocktail, with high vitamin C",0.01
078742080123,25221350.0,Italian sausage,0.07
044000028251,53241500.0,"Cookie, butter or sugar",0.11
028000680909,11830100.0,"Cocoa (or chocolate) with dry milk and sugar, dry mix, not reconstituted",0.05
078742020495,11113000.0,"Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat",0.02
020200029700,53239000.0,"Cookie, shortbread",0.07
011110034878,51301010.0,"Bread, wheat or cracked wheat",0.07
072180639752,58106734.0,"Pizza with extra meat and extra vegetables, prepared from frozen, thick crust",0.03
042800115003,58106500.0,"Pizza with meat, prepared from frozen, thin crust",0.11
043695062014,58126400.0,"Turnover, filled with egg, meat and cheese",0.1
011110578037,13140900.0,"Light ice cream, fudgesicle (formerly ice milk)",0.04
011110507297,13110100.0,"Ice cream, regular, flavors other than chocolate",0.04
045000000971,53108200.0,"Snack cake, chocolate, with icing or filling",0.18
028400084048,54402200.0,"Salty snack mixture, mostly corn or cornmeal based, with pretzels, without nuts",0.21
4116397509,51107010.0,"Bread, French or Vienna",0.06
001600030270,18022.0,"Bread, cornbread, dry mix, enriched (includes corn muffin mix)",0.05
016000429406,50030000.0,"Biscuit mix, dry",0.05
043000003336,92193000.0,"Coffee, dry instant powder, with whitener and sugar",0.14
040000464112,91726420.0,3 MUSKETEERS Bar,0.34
040000464280,91726130.0,MILKY WAY Bar,0.24
027000490174,54403000.0,"Popcorn, popped in oil, unbuttered",0.15
082000005612,93505000.0,Vodka,0.09
024100130672,54325000.0,"Crackers, saltine",0.06
051933202306,51121010.0,"Bread, garlic",0.06
051933162600,18087.0,"Cake, angelfood, dry mix",0.03
021130183463,51301010.0,"Bread, wheat or cracked wheat",0.06
021130183456,51101000.0,"Bread, white",0.04
044700031285,25230900.0,"Turkey or chicken breast, prepackaged or deli, luncheon meat",0.05
044700031483,25230900.0,"Turkey or chicken breast, prepackaged or deli, luncheon meat",0.05
011110851703,53391100.0,"Pie shell, graham cracker",0.19
028700140048,64104010.0,Apple juice,0.03
011110883513,11211400.0,"Milk, evaporated, 2% fat (formerly NS as to dilution)",0.14
011110883100,11220000.0,"Milk, condensed, sweetened (formerly NS as to dilution)",0.09
014100085782,54338000.0,"Crackers, wheat",0.26
078742099200,74401010.0,Tomato catsup,0.05
078742122311,8132.0,"Cereals, oats, instant, fortified, with raisins and spice, dry",0.23
078742228389,51301010.0,"Bread, wheat or cracked wheat",0.06
081841600024,26319130.0,"Shrimp, steamed or boiled",0.11
078742086743,11114350.0,"Milk, cow's, fluid, lactose reduced, whole",0.02
027000009338,81103080.0,"Margarine-like spread, tub, salted",0.03
023700018632,24198740.0,Chicken nuggets,0.02
074390630826,64104010.0,Apple juice,0.02
034000013326,91707010.0,"Fondant, chocolate covered",0.24
034000171156,91705060.0,"Milk chocolate candy, with almonds",0.26
040000016038,91726420.0,3 MUSKETEERS Bar,0.08
075355112258,92530510.0,"Cranberry juice drink or cocktail, with high vitamin C",0.02
029700001391,11382.0,"Potatoes, mashed, dehydrated, granules with milk, dry form",0.46
029700001469,11382.0,"Potatoes, mashed, dehydrated, granules with milk, dry form",0.47
041130350863,14410200.0,"Cheese, processed, American or Cheddar type",0.11
041498187958,54102010.0,"Crackers, graham",0.09
041498115340,57335550.0,Reese's Peanut Butter Puffs cereal,0.16
041498154561,11112210.0,"Milk, cow's, fluid, 1% fat",0.02
041498194185,61210720.0,"Orange juice, frozen, not reconstituted",0.13
041498156343,71220000.0,Vegetable chips,0.26
041498120009,63101110.0,"Applesauce, stewed apples, NS as to sweetened or unsweetened; sweetened, NS as to type of sweetener",0.06
041498188887,57000100.0,"Oat cereal, NFS",0.28
041498181543,74404010.0,"Spaghetti sauce, meatless",0.04
025000054334,61210250.0,"Orange juice, with calcium added, canned, bottled or in a carton",0.02
095188999222,91501010.0,Gelatin dessert,0.02
095188999253,91611000.0,Ice pop,0.04
033844006501,81301000.0,Garlic sauce,0.05
033844007089,91361010.0,Sweet and sour sauce,0.02
748757000101,54401050.0,"Salty snacks, corn or cornmeal base, corn puffs and twists; corn-cheese puffs and twists",0.49
748757000262,54401010.0,"Salty snacks, corn or cornmeal base, nuts or nuggets, toasted",0.48
748757001085,54401080.0,"Salty snacks, corn or cornmeal base, tortilla chips",0.28
748757000248,54401050.0,"Salty snacks, corn or cornmeal base, corn puffs and twists; corn-cheese puffs and twists",0.16
748757000033,71905410.0,Plantain chips,0.72
738777070154,75511010.0,Hot pepper sauce,0.17
738777050187,14262.0,"Citrus fruit juice drink, frozen concentrate",0.05
805554100899,92510610.0,Fruit juice drink,0.02
071430000250,73101010.0,"Carrots, raw",0.1
805554100172,91745010.0,Gumdrops,0.01
061500118985,92410320.0,"Soft drink, cola-type, sugar-free",0.01
061500118886,92410360.0,"Soft drink, pepper-type",0.01
076983382921,53209000.0,"Cookie, chocolate, chocolate sandwich or chocolate-coated or striped",0.06
878114001950,92651000.0,Energy drink,0.42
042200027074,92410510.0,"Soft drink, fruit-flavored, caffeine free",0.01
064144106264,54403120.0,"Popcorn, sugar syrup or caramel-coated, with nuts",0.59
030100540755,53206000.0,"Cookie, chocolate chip",0.06
041250564645,13110100.0,"Ice cream, regular, flavors other than chocolate",0.03
041130308116,5006.0,"Chicken, broilers or fryers, meat and skin, raw",0.03
076239421206,58122220.0,"Gnocchi, potato",0.06
041164000314,58121610.0,"Dumpling, potato- or cheese-filled",0.07
073405101603,11329.0,"Peppers, hot chili, green, canned, pods, excluding seeds, solids and liquids",0.05
027000500118,74404010.0,"Spaghetti sauce, meatless",0.04
021000023226,22959.0,"Macaroni and cheese dinner with dry sauce mix, boxed, uncooked",0.4
052100019727,2047.0,"Salt, table",0.25
027000378311,74201003.0,"Tomatoes, cooked, from canned, NS as to method",0.11
078742112022,27347240.0,"Chicken or turkey, dumplings, and vegetables (including carrots, broccoli, and/or dark green leafy), gravy (mixture)",0.04
018000817733,53200100.0,"Cookie, batter or dough, raw",0.05
043000028223,92510610.0,Fruit juice drink,0.01
043000028254,92510610.0,Fruit juice drink,0.01
043000028278,92510610.0,Fruit juice drink,0.01
078742089850,13110100.0,"Ice cream, regular, flavors other than chocolate",0.04
079621001482,25221470.0,"Pork and beef sausage, brown and serve, cooked",0.08
079621001475,25221470.0,"Pork and beef sausage, brown and serve, cooked",0.08
013800190239,58100600.0,"Enchilada with chicken, tomato-based sauce",0.03
011110965646,26319130.0,"Shrimp, steamed or boiled",0.12
011110804334,91611000.0,Ice pop,0.01
070575040756,27212200.0,Beef and noodles with gravy (mixture),0.03
074653120644,58106500.0,"Pizza with meat, prepared from frozen, thin crust",0.07
074653000021,58106500.0,"Pizza with meat, prepared from frozen, thin crust",0.07
074653000038,58106500.0,"Pizza with meat, prepared from frozen, thin crust",0.07
024126015601,51630200.0,"Muffin, English, multigrain",0.13
078742118178,33001050.0,"Egg substitute, omelet, scrambled, or fried, made without fat",0.03
021000024667,14104020.0,"Cheese, Cheddar or American type, dry, grated",0.22
027000009307,81103080.0,"Margarine-like spread, tub, salted",0.1
041800000128,91405500.0,"Jelly, reduced sugar, all flavors",0.05
036800282537,14104020.0,"Cheese, Cheddar or American type, dry, grated",0.19
036800043909,14104250.0,"Cheese, Colby Jack",0.19
036800108806,14010100.0,"Cheese, Cheddar or American type, NS as to natural or processed",0.17
036800124349,14120010.0,"Cheese, Mexican blend",0.21
036800056985,14106200.0,"Cheese, Monterey",0.19
030000063224,57304100.0,Life (plain and cinnamon),0.2
030000313497,57241000.0,Honey Nut Cheerios,0.2
031903046550,75143000.0,"Lettuce, salad with assorted vegetables including tomatoes and/or carrots, no dressing",0.16
850563002030,57227000.0,"Granola, NFS",0.18
048121135454,51180010.0,Bagel,0.05
051933316300,58131323.0,"Ravioli, meat-filled, with tomato sauce or meat sauce, canned",0.06
078913170288,53391100.0,"Pie shell, graham cracker",0.19
073474886142,14301010.0,"Cheese, cream",0.17
076114309100,2052.0,"Vanilla extract, imitation, no alcohol",1.32
046000273426,52215200.0,"Tortilla, flour (wheat)",0.09
046000288697,41813000.0,"Vegetarian bouillon, dry",1.0
072343000177,74404010.0,"Spaghetti sauce, meatless",0.03
026825010505,61104230.0,"Grapefruit and orange sections, cooked, canned, or frozen, in light syrup",0.07
036514110966,14109010.0,"Cheese, Swiss",0.21
075971167724,25230210.0,"Ham, sliced, prepackaged or deli, luncheon meat",0.12
071430009611,75114000.0,"Mixed salad greens, raw",0.23
077900502095,27560650.0,Sausage on biscuit,0.05
072804007691,14201010.0,"Cheese, cottage, creamed, large or small curd",0.11
036632001092,11430000.0,"Yogurt, fruit variety, NS as to type  of milk",0.04
072810661245,63311140.0,"Fruit cocktail, cooked or canned, in light syrup",0.1
072810661252,63135140.0,"Peach, cooked or canned, in light or medium syrup",0.1
075925300160,14107010.0,"Cheese, Mozzarella, NFS",0.08
025500003672,92191100.0,"Coffee, dry instant powder, regular",0.04
792080196543,74404010.0,"Spaghetti sauce, meatless",0.09
070424000351,11112110.0,"Milk, cow's, fluid, 2% fat",0.01
071319000357,51201010.0,"Bread, whole wheat, 100%",0.22
045000004054,51401010.0,"Bread, rye",0.06
050000413522,12210210.0,"Cream substitute, flavored, liquid",0.07
074117000963,51301600.0,"Bread, pita, whole wheat, NS as to 100%",0.7
048121135478,51180010.0,Bagel,0.05
070640500505,13130300.0,"Light ice cream, flavors other than chocolate (formerly ice milk)",0.12
070640500024,13140110.0,"Light ice cream, bar or stick, chocolate covered, with nuts (formerly ice milk)",0.05
022635150004,26137190.0,"Salmon, smoked",0.19
070640004690,13130310.0,"Light ice cream, chocolate (formerly ice milk)",0.12
041415177901,53120060.0,"Cake, white, made from home recipe or purchased ready-to-eat, NS as to icing",0.03
034000560004,91721000.0,Licorice,0.04
041498129811,51129010.0,"Bread, raisin",0.09
077890920091,51101000.0,"Bread, white",0.04
077890946855,11432000.0,"Yogurt, fruit variety, lowfat milk",0.25
077890835678,14010100.0,"Cheese, Cheddar or American type, NS as to natural or processed",0.17
077890152812,13130300.0,"Light ice cream, flavors other than chocolate (formerly ice milk)",0.04
034000016105,91705010.0,"Milk chocolate candy, plain",0.09
076808280838,20099.0,"Macaroni, dry, enriched",0.08
028400090841,54406010.0,"Snacks, onion-flavored rings",0.19
052000208092,92560100.0,Gatorade Thirst Quencher sports drink,0.0
077890665459,10123.0,"Pork, cured, bacon, unprepared",0.08
064144281251,74201003.0,"Tomatoes, cooked, from canned, NS as to method",0.15
071430009338,75114000.0,"Mixed salad greens, raw",0.15
035826048158,52101020.0,"Biscuit dough, raw",0.02
071430010693,75113000.0,"Lettuce, raw",0.21
070025000606,25230560.0,Liverwurst,0.07
038000713422,53530000.0,Breakfast tart,0.06
725439103398,75216310.0,"Corn, yellow, canned, low sodium, fat not added in cooking",0.12
613008719302,92307500.0,"Half and Half beverage, half iced tea and half fruit juice drink (lemonade)",0.05
725439106153,74406100.0,"Steak sauce, tomato-base",0.14
681131328937,75113000.0,"Lettuce, raw",0.31
013120012518,71401020.0,"White potato, french fries, from frozen, oven baked",0.32
042800112002,58106500.0,"Pizza with meat, prepared from frozen, thin crust",0.11
078742229652,20036.0,"Rice, brown, long-grain, raw",0.28
034000490233,91734100.0,Reese's Peanut Butter Cup,0.34
078742092171,74201003.0,"Tomatoes, cooked, from canned, NS as to method",0.11
070450118648,64132010.0,Prune juice,0.03
